stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,0,12214426911871,12214427082581,12214427215159,12214428783017,0.132578,1.567858,1.871146,0.17071,1.224768,0,480
live,1,12214436911871,12214437051628,12214437125229,12214437761333,0.073601,0.636104,0.849462,0.139757,0.584416,0,480
live,2,12214446911871,12214447055011,12214447157989,12214448133232,0.102978,0.975243,1.221361,0.14314,0.633024,0,480
live,3,12214456911871,12214457076347,12214457169756,12214458137159,0.093409,0.967403,1.225288,0.164476,0.632128,0,480
live,4,12214466911871,12214467029937,12214467074866,12214467691961,0.044929,0.617095,0.78009,0.118066,0.344256,0,480
live,5,12214476911871,12214477045161,12214477126570,12214478121526,0.081409,0.994956,1.209655,0.13329,0.710944,0,480
live,6,12214486911871,12214487061344,12214487131201,12214488083692,0.069857,0.952491,1.171821,0.149473,0.610816,0,480
live,7,12214496911871,12214497053175,12214497134360,12214498186533,0.081185,1.052173,1.274662,0.141304,0.697952,0,480
live,8,12214506911871,12214507053230,12214507134415,12214508200380,0.081185,1.065965,1.288509,0.141359,0.700832,0,480
live,9,12214516911871,12214517053446,12214517121222,12214518163443,0.067776,1.042221,1.251572,0.141575,0.698336,0,480
live,10,12214526911871,12214527050461,12214527127710,12214528332492,0.077249,1.204782,1.420621,0.13859,0.846304,0,480
live,11,12214536911871,12214537054644,12214537124213,12214538173377,0.069569,1.049164,1.261506,0.142773,0.69936,0,480
live,12,12214546911871,12214547048811,12214547117580,12214548176153,0.068769,1.058573,1.264282,0.13694,0.691392,0,480
live,13,12214556911871,12214557052002,12214557118211,12214558158255,0.066209,1.040044,1.246384,0.140131,0.68736,0,480
live,14,12214566911871,12214567049081,12214567126746,12214568185575,0.077665,1.058829,1.273704,0.13721,0.698272,0,480
live,15,12214576911871,12214577058097,12214577126610,12214578158046,0.068513,1.031436,1.246175,0.146226,0.683168,0,480
live,16,12214586911871,12214587054472,12214587123593,12214588187733,0.069121,1.06414,1.275862,0.142601,0.701984,0,480
live,17,12214596911871,12214597049663,12214597138144,12214598275406,0.088481,1.137262,1.363535,0.137792,0.800224,0,480
live,18,12214606911871,12214607055638,12214607132023,12214608256709,0.076385,1.124686,1.344838,0.143767,0.747744,0,480
live,19,12214616911871,12214617051981,12214617133358,12214618199771,0.081377,1.066413,1.2879,0.14011,0.713568,0,480
live,20,12214626911871,12214627052869,12214627133542,12214629161662,0.080673,2.02812,2.249791,0.140998,1.6608,0,480
live,21,12214636911871,12214637054908,12214637138685,12214638186121,0.083777,1.047436,1.27425,0.143037,0.697184,0,480
live,22,12214646911871,12214647054259,12214647122068,12214648195521,0.067809,1.073453,1.28365,0.142388,0.712544,0,480
live,23,12214656911871,12214657055082,12214657131243,12214658170519,0.076161,1.039276,1.258648,0.143211,0.694048,0,480
live,24,12214666911871,12214667054945,12214667123874,12214668204015,0.068929,1.080141,1.292144,0.143074,0.714176,0,480
live,25,12214676911871,12214677051865,12214677137338,12214678180422,0.085473,1.043084,1.268551,0.139994,0.700288,0,480
live,26,12214686911871,12214687063952,12214687170865,12214688428864,0.106913,1.257999,1.516993,0.152081,0.874368,0,480
live,27,12214696911871,12214697058311,12214697140552,12214698229301,0.082241,1.088749,1.31743,0.14644,0.739232,0,480
live,28,12214706911871,12214707054078,12214707131967,12214708262189,0.077889,1.130222,1.350318,0.142207,0.725088,0,480
live,29,12214716911871,12214717057269,12214717125398,12214718180355,0.068129,1.054957,1.268484,0.145398,0.70768,0,480
live,30,12214726911871,12214727055149,12214727125709,12214728245371,0.07056,1.119662,1.3335,0.143278,0.744416,0,480
live,31,12214736911871,12214737053092,12214737131781,12214738210929,0.078689,1.079148,1.299058,0.141221,0.742176,0,480
live,32,12214746911871,12214747055579,12214747135900,12214748210857,0.080321,1.074957,1.298986,0.143708,0.721376,0,480
live,33,12214756911871,12214757059826,12214757127603,12214758185152,0.067777,1.057549,1.273281,0.147955,0.710112,0,480
live,34,12214766911871,12214767055369,12214767126410,12214768206807,0.071041,1.080397,1.294936,0.143498,0.7072,0,480
live,35,12214776911871,12214777056352,12214777122881,12214778173806,0.066529,1.050925,1.261935,0.144481,0.70608,0,480
live,36,12214786911871,12214787053880,12214787136473,12214788213573,0.082593,1.0771,1.301702,0.142009,0.707264,0,480
live,37,12214796911871,12214797062287,12214797139760,12214798183836,0.077473,1.044076,1.271965,0.150416,0.696576,0,480
live,38,12214806911871,12214807052774,12214807131047,12214808207220,0.078273,1.076173,1.295349,0.140903,0.702048,0,480
live,39,12214816911871,12214817056925,12214817126014,12214818208107,0.069089,1.082093,1.296236,0.145054,0.727712,0,480
live,40,12214826911871,12214827053428,12214827119765,12214829315151,0.066337,2.195386,2.40328,0.141557,1.837088,0,480
live,41,12214836911871,12214837053932,12214837126284,12214838162681,0.072352,1.036397,1.25081,0.142061,0.696672,0,480
live,42,12214846911871,12214847054179,12214847136132,12214848211281,0.081953,1.075149,1.29941,0.142308,0.709472,0,480
live,43,12214856911871,12214857056538,12214857144859,12214858186759,0.088321,1.0419,1.274888,0.144667,0.691648,0,480
live,44,12214866911871,12214867058737,12214867132754,12214868200607,0.074017,1.067853,1.288736,0.146866,0.702272,0,480
live,45,12214876911871,12214877060904,12214877140137,12214878198262,0.079233,1.058125,1.286391,0.149033,0.710336,0,480
live,46,12214886911871,12214887048383,12214887122624,12214888282894,0.074241,1.16027,1.371023,0.136512,0.780224,0,480
live,47,12214896911871,12214897051031,12214897134232,12214898209476,0.083201,1.075244,1.297605,0.13916,0.727968,0,480
live,48,12214906911871,12214907053166,12214907148687,12214908224860,0.095521,1.076173,1.312989,0.141295,0.711296,0,480
live,49,12214916911871,12214917054661,12214917135718,12214918183187,0.081057,1.047469,1.271316,0.14279,0.698624,0,480
live,50,12214926911871,12214927056892,12214927126909,12214928201098,0.070017,1.074189,1.289227,0.145021,0.703776,0,480
live,51,12214936911871,12214937052595,12214937118900,12214938156865,0.066305,1.037965,1.244994,0.140724,0.688832,0,480
live,52,12214946911871,12214947049995,12214947125515,12214948202232,0.07552,1.076717,1.290361,0.138124,0.702112,0,480
live,53,12214956911871,12214957050338,12214957128387,12214958152239,0.078049,1.023852,1.240368,0.138467,0.6816,0,480
live,54,12214966911871,12214967050585,12214967141210,12214968205063,0.090625,1.063853,1.293192,0.138714,0.699456,0,480
live,55,12214976911871,12214977052720,12214977131601,12214978163357,0.078881,1.031756,1.251486,0.140849,0.686688,0,480
live,56,12214986911871,12214987052935,12214987138152,12214988192661,0.085217,1.054509,1.28079,0.141064,0.6928,0,480
live,57,12214996911871,12214997053951,12214997120063,12214998150284,0.066112,1.030221,1.238413,0.14208,0.687968,0,480
live,58,12215006911871,12215007053590,12215007136375,12215008225540,0.082785,1.089165,1.313669,0.141719,0.71744,0,480
live,59,12215016911871,12215017053709,12215017133294,12215018201563,0.079585,1.068269,1.289692,0.141838,0.721856,0,480
live,60,12215026911871,12215027052580,12215027130533,12215029117661,0.077953,1.987128,2.20579,0.140709,1.627328,0,480
live,61,12215036911871,12215037051163,12215037136700,12215038192425,0.085537,1.055725,1.280554,0.139292,0.70624,0,480
live,62,12215046911871,12215047055858,12215047149716,12215048210912,0.093858,1.061196,1.299041,0.143987,0.6944,0,480
live,63,12215056911871,12215057057418,12215057124939,12215058152727,0.067521,1.027788,1.240856,0.145547,0.683072,0,480
live,64,12215066911871,12215067049953,12215067129954,12215068198542,0.080001,1.068588,1.286671,0.138082,0.708288,0,480
live,65,12215076911871,12215077054392,12215077130777,12215078168133,0.076385,1.037356,1.256262,0.142521,0.68896,0,480
live,66,12215086911871,12215087053679,12215087132304,12215087857177,0.078625,0.724873,0.945306,0.141808,0.681984,0,480
live,67,12215096911871,12215097055782,12215097130855,12215098163828,0.075073,1.032973,1.251957,0.143911,0.679936,0,480
live,68,12215106911871,12215107056190,12215107121406,12215107848167,0.065216,0.726761,0.936296,0.144319,0.685056,0,480
live,69,12215116911871,12215117054965,12215117133910,12215118169506,0.078945,1.035596,1.257635,0.143094,0.688928,0,480
live,70,12215126911871,12215127060076,12215127139757,12215127901494,0.079681,0.761737,0.989623,0.148205,0.718528,0,480
live,71,12215136911871,12215137067875,12215137457736,12215138410483,0.389861,0.952747,1.498612,0.156004,0.882944,0,480
live,72,12215146911871,12215147056346,12215147143067,12215147933061,0.086721,0.789994,1.02119,0.144475,0.747168,0,480
live,73,12215156911871,12215157058482,12215157139443,12215158228000,0.080961,1.088557,1.316129,0.146611,0.732992,0,480
live,74,12215166911871,12215167095337,12215167178602,12215168052437,0.083265,0.873835,1.140566,0.183466,0.734688,0,480
live,75,12215176911871,12215177085952,12215177165761,12215178252142,0.079809,1.086381,1.340271,0.174081,0.730016,0,480
live,76,12215186911871,12215187058615,12215187136120,12215188228357,0.077505,1.092237,1.316486,0.146744,0.71904,0,480
live,77,12215196911871,12215197059758,12215197148207,12215198207772,0.088449,1.059565,1.295901,0.147887,0.700352,0,480
live,78,12215206911871,12215207053381,12215207130502,12215208209875,0.077121,1.079373,1.298004,0.14151,0.71008,0,480
live,79,12215216911871,12215217054877,12215217130622,12215218179434,0.075745,1.048812,1.267563,0.143006,0.695008,0,480
live,80,12215226911871,12215227056820,12215227134421,12215229087756,0.077601,1.953335,2.175885,0.144949,1.58544,0,480
live,81,12215236911871,12215237061099,12215237142348,12215238222649,0.081249,1.080301,1.310778,0.149228,0.730272,0,480
live,82,12215246911871,12215247058434,12215247136547,12215248236368,0.078113,1.099821,1.324497,0.146563,0.720896,0,480
live,83,12215256911871,12215257058553,12215257139002,12215258189319,0.080449,1.050317,1.277448,0.146682,0.699648,0,480
live,84,12215266911871,12215267056177,12215267141650,12215268224191,0.085473,1.082541,1.31232,0.144306,0.709408,0,480
live,85,12215276911871,12215277055176,12215277141129,12215278183733,0.085953,1.042604,1.271862,0.143305,0.68704,0,480
live,86,12215286911871,12215287054847,12215287129312,12215287865769,0.074465,0.736457,0.953898,0.142976,0.694624,0,480
live,87,12215296911871,12215297056118,12215297142423,12215298217892,0.086305,1.075469,1.306021,0.144247,0.728128,0,480
live,88,12215306911871,12215307051981,12215307130030,12215307880599,0.078049,0.750569,0.968728,0.14011,0.708704,0,480
live,89,12215316911871,12215317052804,12215317137797,12215318204914,0.084993,1.067117,1.293043,0.140933,0.718432,0,480
live,90,12215326911871,12215327054524,12215327135421,12215328215306,0.080897,1.079885,1.303435,0.142653,0.710144,0,480
live,91,12215336911871,12215337056371,12215337126100,12215338259489,0.069729,1.133389,1.347618,0.1445,0.69744,0,480
live,92,12215346911871,12215347055690,12215347124267,12215347890516,0.068577,0.766249,0.978645,0.143819,0.707424,0,480
live,93,12215356911871,12215357089154,12215357498887,12215359213403,0.409733,1.714516,2.301532,0.177283,1.664448,0,480
live,94,12215366911871,12215367162970,12215367630431,12215369495638,0.467461,1.865207,2.583767,0.251099,1.811488,0,480
live,95,12215376911871,12215377064976,12215377140241,12215378785028,0.075265,1.644787,1.873157,0.153105,1.605696,0,480
live,96,12215386911871,12215387054919,12215387141160,12215388833532,0.086241,1.692372,1.921661,0.143048,1.631936,0,480
live,97,12215396911871,12215397056350,12215397136543,12215398818099,0.080193,1.681556,1.906228,0.144479,1.640512,0,480
live,98,12215406911871,12215407052885,12215407135030,12215409205807,0.082145,2.070777,2.293936,0.141014,1.608992,0,480
live,99,12215416911871,12215417056300,12215417141965,12215419082437,0.085665,1.940472,2.170566,0.144429,1.481408,0,480
live,100,12215426911871,12215427053220,12215427150725,12215429823781,0.097505,2.673056,2.91191,0.141349,2.611968,0,480
live,101,12215436911871,12215437052571,12215437142524,12215438823760,0.089953,1.681236,1.911889,0.1407,1.640672,0,480
live,102,12215446911871,12215447055826,12215447141363,12215448845095,0.085537,1.703732,1.933224,0.143955,1.630208,0,480
live,103,12215456911871,12215457053225,12215457123786,12215459060577,0.070561,1.936791,2.148706,0.141354,1.483744,0,480
live,104,12215466911871,12215467051040,12215467134657,12215468829365,0.083617,1.694708,1.917494,0.139169,1.628416,0,480
live,105,12215476911871,12215477053303,12215477136440,12215478769420,0.083137,1.63298,1.857549,0.141432,1.593024,0,480
live,106,12215486911871,12215487050991,12215487137712,12215488831844,0.086721,1.694132,1.919973,0.13912,1.623872,0,480
live,107,12215496911871,12215497062438,12215497148583,12215498800475,0.086145,1.651892,1.888604,0.150567,1.611072,0,480
live,108,12215506911871,12215507050717,12215507143870,12215508855667,0.093153,1.711797,1.943796,0.138846,1.644896,0,480
live,109,12215516911871,12215517052084,12215517125237,12215519061164,0.073153,1.935927,2.149293,0.140213,1.487808,0,480
live,110,12215526911871,12215527051787,12215527121676,12215528818592,0.069889,1.696916,1.906721,0.139916,1.634976,0,480
live,111,12215536911871,12215537052195,12215537136548,12215538817208,0.084353,1.68066,1.905337,0.140324,1.639488,0,480
live,112,12215546911871,12215547053722,12215547142011,12215548828079,0.088289,1.686068,1.916208,0.141851,1.616128,0,480
live,113,12215556911871,12215557051505,12215557122002,12215558815398,0.070497,1.693396,1.903527,0.139634,1.654304,0,480
live,114,12215566911871,12215567054696,12215567148105,12215568845854,0.093409,1.697749,1.933983,0.142825,1.630816,0,480
live,115,12215576911871,12215577060511,12215577133312,12215579122712,0.072801,1.9894,2.210841,0.14864,1.529632,0,480
live,116,12215586911871,12215587061943,12215587154328,12215588868364,0.092385,1.714036,1.956493,0.150072,1.627968,0,480
live,117,12215596911871,12215597058542,12215597143439,12215598818339,0.084897,1.6749,1.906468,0.146671,1.635232,0,480
live,118,12215606911871,12215607054053,12215607126278,12215608852826,0.072225,1.726548,1.940955,0.142182,1.6568,0,480
live,119,12215616911871,12215617051484,12215617134877,12215618804465,0.083393,1.669588,1.892594,0.139613,1.629024,0,480
live,120,12215626911871,12215627054227,12215627143988,12215629924373,0.089761,2.780385,3.012502,0.142356,2.30336,0,480
live,121,12215636911871,12215637054282,12215637128779,12215638763551,0.074497,1.634772,1.85168,0.142411,1.5952,0,480
live,122,12215646911871,12215647051394,12215647140451,12215648818967,0.089057,1.678516,1.907096,0.139523,1.613312,0,480
live,123,12215656911871,12215657052697,12215657143578,12215658813102,0.090881,1.669524,1.901231,0.140826,1.630272,0,480
live,124,12215666911871,12215667053008,12215667133393,12215668837957,0.080385,1.704564,1.926086,0.141137,1.634752,0,480
live,125,12215676911871,12215677050823,12215677134792,12215678802812,0.083969,1.66802,1.890941,0.138952,1.628416,0,480
live,126,12215686911871,12215687055550,12215687128831,12215689067862,0.073281,1.939031,2.155991,0.143679,1.47728,0,480
live,127,12215696911871,12215697052086,12215697133847,12215698788202,0.081761,1.654355,1.876331,0.140215,1.613216,0,480
live,128,12215706911871,12215707052269,12215707135086,12215708812258,0.082817,1.677172,1.900387,0.140398,1.612672,0,480
live,129,12215716911871,12215717051556,12215717139685,12215718840153,0.088129,1.700468,1.928282,0.139685,1.65872,0,480
live,130,12215726911871,12215727053147,12215727127612,12215728798960,0.074465,1.671348,1.887089,0.141276,1.606912,0,480
live,131,12215736911871,12215737147891,12215737301141,12215739170060,0.15325,1.868919,2.258189,0.23602,1.805888,0,480
live,132,12215746911871,12215747082826,12215747180363,12215748911616,0.097537,1.731253,1.999745,0.170955,1.664224,0,480
live,133,12215756911871,12215757057569,12215757146754,12215758879062,0.089185,1.732308,1.967191,0.145698,1.693184,0,480
live,134,12215766911871,12215767056440,12215767152697,12215768874318,0.096257,1.721621,1.962447,0.144569,1.650176,0,480
live,135,12215776911871,12215777056175,12215777147920,12215778837700,0.091745,1.68978,1.925829,0.144304,1.650176,0,480
live,136,12215786911871,12215787054758,12215787136807,12215788935325,0.082049,1.798518,2.023454,0.142887,1.730464,0,480
live,137,12215796911871,12215797058301,12215797156415,12215799143350,0.098114,1.986935,2.231479,0.14643,1.472352,0,480
live,138,12215806911871,12215807057557,12215807156150,12215808855402,0.098593,1.699252,1.943531,0.145686,1.6344,0,480
live,139,12215816911871,12215817061420,12215817153613,12215818842561,0.092193,1.688948,1.93069,0.149549,1.648448,0,480
live,140,12215826911871,12215827055235,12215827127140,12215829818500,0.071905,2.69136,2.906629,0.143364,2.625152,0,480
live,141,12215836911871,12215837051098,12215837139995,12215838005190,0.088897,0.865195,1.093319,0.139227,0.823264,0,480
live,142,12215846911871,12215847061201,12215847142354,12215847912860,0.081153,0.770506,1.000989,0.14933,0.729312,0,480
live,143,12215856911871,12215857050889,12215857131177,12215858247927,0.080288,1.11675,1.336056,0.139018,0.766784,0,480
live,144,12215866911871,12215867051008,12215867132225,12215867889162,0.081217,0.756937,0.977291,0.139137,0.715072,0,480
live,145,12215876911871,12215877051415,12215877133432,12215877877313,0.082017,0.743881,0.965442,0.139544,0.7016,0,480
live,146,12215886911871,12215887051438,12215887127631,12215887870232,0.076193,0.742601,0.958361,0.139567,0.701664,0,480
live,147,12215896911871,12215897053573,12215897131590,12215897861135,0.078017,0.729545,0.949264,0.141702,0.68912,0,480
live,148,12215906911871,12215907050748,12215907129213,12215908202058,0.078465,1.072845,1.290187,0.138877,0.707936,0,480
live,149,12215916911871,12215917053236,12215917133237,12215917865565,0.080001,0.732328,0.953694,0.141365,0.690944,0,480
live,150,12215926911871,12215927096011,12215927177036,12215927920405,0.081025,0.743369,1.008534,0.18414,0.700896,0,480
live,151,12215936911871,12215937073410,12215937153475,12215937891948,0.080065,0.738473,0.980077,0.161539,0.69616,0,480
live,152,12215946911871,12215947055705,12215947145530,12215947877923,0.089825,0.732393,0.966052,0.143834,0.688256,0,480
live,153,12215956911871,12215957054960,12215957133425,12215957872602,0.078465,0.739177,0.960731,0.143089,0.697312,0,480
live,154,12215966911871,12215967052424,12215967140681,12215968227094,0.088257,1.086413,1.315223,0.140553,0.713664,0,480
live,155,12215976911871,12215977052575,12215977139488,12215977859752,0.086913,0.720264,0.947881,0.140704,0.678208,0,480
live,156,12215986911871,12215987049942,12215987127735,12215987858080,0.077793,0.730345,0.946209,0.138071,0.688768,0,480
live,157,12215996911871,12215997103566,12215997518387,12215999260327,0.414821,1.74194,2.348456,0.191695,1.693568,0,480
live,158,12216006911871,12216007109221,12216007525034,12216008587767,0.415813,1.062733,1.675896,0.19735,0.98064,0,480
live,159,12216016911871,12216017070556,12216017156637,12216017965990,0.086081,0.809353,1.054119,0.158685,0.768704,0,480
live,160,12216026911871,12216027060979,12216027153076,12216028901129,0.092097,1.748053,1.989258,0.149108,1.68688,0,480
live,161,12216036911871,12216037076778,12216037174283,12216038012405,0.097505,0.838122,1.100534,0.164907,0.771424,0,480
live,162,12216046911871,12216047064385,12216047142050,12216047906891,0.077665,0.764841,0.99502,0.152514,0.723168,0,480
live,163,12216056911871,12216057050296,12216057129273,12216057896994,0.078977,0.767721,0.985123,0.138425,0.728064,0,480
live,164,12216066911871,12216067053711,12216067138000,12216067905626,0.084289,0.767626,0.993755,0.14184,0.725152,0,480
live,165,12216076911871,12216077054727,12216077130760,12216077943345,0.076033,0.812585,1.031474,0.142856,0.770784,0,480
live,166,12216086911871,12216087053950,12216087121247,12216087878088,0.067297,0.756841,0.966217,0.142079,0.71568,0,480
live,167,12216096911871,12216097093781,12216097516475,12216099273423,0.422694,1.756948,2.361552,0.18191,1.703392,0,480
live,168,12216106911871,12216107129133,12216107570770,12216109424360,0.441637,1.85359,2.512489,0.217262,1.798816,0,480
live,169,12216116911871,12216117121572,12216117531689,12216119338943,0.410117,1.807254,2.427072,0.209701,1.751584,0,480
live,170,12216126911871,12216127063387,12216127153180,12216128846768,0.089793,1.693588,1.934897,0.151516,1.629152,0,480
live,171,12216136911871,12216137054290,12216137125171,12216138304257,0.070881,1.179086,1.392386,0.142419,0.835776,0,480
live,172,12216146911871,12216147052201,12216147132778,12216147907219,0.080577,0.774441,0.995348,0.14033,0.732288,0,480
live,173,12216156911871,12216157052192,12216157129249,12216157898890,0.077057,0.769641,0.987019,0.140321,0.728288,0,480
live,174,12216166911871,12216167052855,12216167136664,12216167894145,0.083809,0.757481,0.982274,0.140984,0.712736,0,480
live,175,12216176911871,12216177059087,12216177147856,12216177896793,0.088769,0.748937,0.984922,0.147216,0.70304,0,480
live,176,12216186911871,12216187051686,12216187129959,12216188204627,0.078273,1.074668,1.292756,0.139815,0.710688,0,480
live,177,12216196911871,12216197050973,12216197129374,12216197871367,0.078401,0.741993,0.959496,0.139102,0.699904,0,480
live,178,12216206911871,12216207049396,12216207123189,12216207867966,0.073793,0.744777,0.956095,0.137525,0.702848,0,480
live,179,12216216911871,12216217059019,12216217136812,12216217883637,0.077793,0.746825,0.971766,0.147148,0.7048,0,480
live,180,12216226911871,12216227049986,12216227130627,12216228715830,0.080641,1.585203,1.803959,0.138115,1.525312,0,480
live,181,12216236911871,12216237051098,12216237134555,12216237884899,0.083457,0.750344,0.973028,0.139227,0.704704,0,480
live,182,12216246911871,12216247056209,12216247144626,12216247901851,0.088417,0.757225,0.98998,0.144338,0.714496,0,480
live,183,12216256911871,12216257055976,12216257137289,12216257891986,0.081313,0.754697,0.980115,0.144105,0.7136,0,480
live,184,12216266911871,12216267065311,12216267143328,12216267894697,0.078017,0.751369,0.982826,0.15344,0.709952,0,480
live,185,12216276911871,12216277050934,12216277118551,12216277885760,0.067617,0.767209,0.973889,0.139063,0.725536,0,480
live,186,12216286911871,12216287106158,12216287535251,12216289280360,0.429093,1.745109,2.368489,0.194287,1.692192,0,480
live,187,12216296911871,12216297105477,12216297537994,12216298565175,0.432517,1.027181,1.653304,0.193606,0.974848,0,480
live,188,12216306911871,12216307052892,12216307122365,12216307904454,0.069473,0.782089,0.992583,0.141021,0.740832,0,480
live,189,12216316911871,12216317051411,12216317135988,12216317903165,0.084577,0.767177,0.991294,0.13954,0.725632,0,480
live,190,12216326911871,12216327054026,12216327131147,12216327885780,0.077121,0.754633,0.973909,0.142155,0.714496,0,480
live,191,12216336911871,12216337051521,12216337150179,12216337909580,0.098658,0.759401,0.997709,0.13965,0.714752,0,480
live,192,12216346911871,12216347053401,12216347130778,12216347876098,0.077377,0.74532,0.964227,0.14153,0.703744,0,480
live,193,12216356911871,12216357055472,12216357123633,12216358176157,0.068161,1.052524,1.264286,0.143601,0.70144,0,480
live,194,12216366911871,12216367052039,12216367119912,12216367871601,0.067873,0.751689,0.95973,0.140168,0.7112,0,480
live,195,12216376911871,12216377052414,12216377121055,12216377854120,0.068641,0.733065,0.942249,0.140543,0.69152,0,480
live,196,12216386911871,12216387086326,12216387489435,12216389243311,0.403109,1.753876,2.33144,0.174455,1.69968,0,480
live,197,12216396911871,12216397135822,12216397579379,12216399416041,0.443557,1.836662,2.50417,0.223951,1.781216,0,480
live,198,12216406911871,12216407104388,12216407525225,12216409430304,0.420837,1.905079,2.518433,0.192517,1.85456,0,480
live,199,12216416911871,12216417053595,12216417143036,12216419066067,0.089441,1.923031,2.154196,0.141724,1.472576,0,480
live,200,12216426911871,12216427057714,12216427139603,12216429692306,0.081889,2.552703,2.780435,0.145843,2.492352,0,480
live,201,12216436911871,12216437053993,12216437129514,12216438804414,0.075521,1.6749,1.892543,0.142122,1.632672,0,480
live,202,12216446911871,12216447050592,12216447121249,12216448843926,0.070657,1.722677,1.932055,0.138721,1.654336,0,480
live,203,12216456911871,12216457049784,12216457130169,12216458826189,0.080385,1.69602,1.914318,0.137913,1.656096,0,480
live,204,12216466911871,12216467050799,12216467138672,12216469090183,0.087873,1.951511,2.178312,0.138928,1.50016,0,480
live,205,12216476911871,12216477051206,12216477138887,12216478785531,0.087681,1.646644,1.87366,0.139335,1.606528,0,480
live,206,12216486911871,12216487054077,12216487146558,12216488863475,0.092481,1.716917,1.951604,0.142206,1.650784,0,480
live,207,12216496911871,12216497057908,12216497144950,12216498824010,0.087042,1.67906,1.912139,0.146037,1.638656,0,480
live,208,12216506911871,12216507050412,12216507132717,12216508820001,0.082305,1.687284,1.90813,0.138541,1.620608,0,480
live,209,12216516911871,12216517049891,12216517120484,12216518765943,0.070593,1.645459,1.854072,0.13802,1.605728,0,480
live,210,12216526911871,12216527047930,12216527119643,12216529015921,0.071713,1.896278,2.10405,0.136059,1.437696,0,480
live,211,12216536911871,12216537052849,12216537135986,12216538835590,0.083137,1.699604,1.923719,0.140978,1.660096,0,480
live,212,12216546911871,12216547051944,12216547132521,12216548832638,0.080577,1.700117,1.920767,0.140073,1.633952,0,480
live,213,12216556911871,12216557050719,12216557149057,12216558847477,0.098338,1.69842,1.935606,0.138848,1.659136,0,480
live,214,12216566911871,12216567050487,12216567140632,12216568843084,0.090145,1.702452,1.931213,0.138616,1.634304,0,480
live,215,12216576911871,12216577053646,12216577136943,12216578797475,0.083297,1.660532,1.885604,0.141775,1.61904,0,480
live,216,12216586911871,12216587050725,12216587134790,12216588826970,0.084065,1.69218,1.915099,0.138854,1.621664,0,480
live,217,12216596911871,12216597053244,12216597143069,12216599067956,0.089825,1.924887,2.156085,0.141373,1.462848,0,480
live,218,12216606911871,12216607054195,12216607126388,12216608837193,0.072193,1.710805,1.925322,0.142324,1.645056,0,480
live,219,12216616911871,12216617049675,12216617130444,12216618786783,0.080769,1.656339,1.874912,0.137804,1.614912,0,480
live,220,12216626911871,12216627050498,12216627134019,12216629735906,0.083521,2.601887,2.824035,0.138627,2.541024,0,480
live,221,12216636911871,12216637050521,12216637138330,12216638773422,0.087809,1.635092,1.861551,0.13865,1.59328,0,480
live,222,12216646911871,12216647058224,12216647142769,12216648842726,0.084545,1.699957,1.930855,0.146353,1.638848,0,480
live,223,12216656911871,12216657054119,12216657137608,12216658788540,0.083489,1.650932,1.876669,0.142248,1.61104,0,480
live,224,12216666911871,12216667050655,12216667123295,12216668810292,0.07264,1.686997,1.898421,0.138784,1.620448,0,480
live,225,12216676911871,12216677049142,12216677148631,12216678809515,0.099489,1.660884,1.897644,0.137271,1.618336,0,480
live,226,12216686911871,12216687094125,12216687180846,12216688900163,0.086721,1.719317,1.988292,0.182254,1.65648,0,480
live,227,12216696911871,12216697077636,12216697180774,12216699109181,0.103138,1.928407,2.19731,0.165765,1.463392,0,480
live,228,12216706911871,12216707062491,12216707160285,12216708867825,0.097794,1.70754,1.955954,0.15062,1.644512,0,480
live,229,12216716911871,12216717063987,12216717150996,12216718858472,0.087009,1.707476,1.946601,0.152116,1.666528,0,480
live,230,12216726911871,12216727057898,12216727143307,12216728839807,0.085409,1.6965,1.927936,0.146027,1.634592,0,480
live,231,12216736911871,12216737049729,12216737120962,12216738761621,0.071233,1.640659,1.84975,0.137858,1.600832,0,480
live,232,12216746911871,12216747050264,12216747133785,12216748827949,0.083521,1.694164,1.916078,0.138393,1.631808,0,480
live,233,12216756911871,12216757049231,12216757137360,12216758792868,0.088129,1.655508,1.880997,0.13736,1.61488,0,480
live,234,12216766911871,12216767052518,12216767158632,12216768859804,0.106114,1.701172,1.947933,0.140647,1.637312,0,480
live,235,12216776911871,12216777051806,12216777133983,12216778788146,0.082177,1.654163,1.876275,0.139935,1.6152,0,480
live,236,12216786911871,12216787049973,12216787131766,12216788844266,0.081793,1.7125,1.932395,0.138102,1.644928,0,480
live,237,12216796911871,12216797050476,12216797123117,12216798801409,0.072641,1.678292,1.889538,0.138605,1.637344,0,480
live,238,12216806911871,12216807050595,12216807125668,12216809069691,0.075073,1.944023,2.15782,0.138724,1.4848,0,480
live,239,12216816911871,12216817048634,12216817120603,12216818767823,0.071969,1.64722,1.855952,0.136763,1.606112,0,480
live,240,12216826911871,12216827048561,12216827121298,12216829630416,0.072737,2.509118,2.718545,0.13669,2.449856,0,480
live,241,12216836911871,12216837051721,12216837135882,12216838810366,0.084161,1.674484,1.898495,0.13985,1.638016,0,480
live,242,12216846911871,12216847054496,12216847137313,12216848836661,0.082817,1.699348,1.92479,0.142625,1.630816,0,480
live,243,12216856911871,12216857051447,12216857122296,12216859035087,0.070849,1.912791,2.123216,0.139576,1.454624,0,480
